release_date,price,average_playtime,release_month,release_year,multi_player,single_player,sports,total_ratings
2008-10-23,3.99,15,10,2008,1,1,0,609
2008-06-24,5.59,0,6,2008,1,1,0,29
2008-08-18,5.59,0,8,2008,1,1,0,134
2008-12-18,4.79,91,12,2008,1,1,0,1031
2009-03-19,3.99,41,3,2009,0,1,0,716
2009-03-19,3.99,76,3,2009,0,1,0,684
2009-07-01,3.99,36,7,2009,0,1,0,581
2009-11-12,3.49,304,11,2009,0,1,0,3715
2014-07-03,3.99,0,7,2014,1,1,0,334
2009-02-13,3.49,0,2,2009,0,1,0,113
2009-02-13,3.49,119,2,2009,0,1,0,476
2008-01-04,5.99,98,1,2008,0,1,0,5468
2011-01-10,5.99,209,1,2011,0,1,0,10636
2008-01-04,9.99,807,1,2008,0,1,0,30120
2008-01-04,5.99,99,1,2008,0,1,0,1249
2008-01-04,5.99,316,1,2008,0,1,0,4361
2008-01-04,5.99,175,1,2008,0,1,0,2678
2008-01-04,0.0,7,1,2008,0,1,0,229
2008-01-04,0.0,3,1,2008,0,1,0,201
2008-10-21,9.99,319,10,2008,0,1,0,10268
2008-12-02,19.99,1255,12,2008,1,1,0,54166
2010-04-12,14.99,508,4,2010,1,1,0,8746
2008-01-18,6.99,0,1,2008,0,1,0,71
2008-07-09,6.99,337,7,2008,0,1,0,1808
2008-02-13,6.99,0,2,2008,0,1,0,315
2008-06-27,6.99,0,6,2008,0,1,0,73
2008-08-26,16.99,37,8,2008,1,1,0,2361
2008-10-24,10.99,0,10,2008,1,1,0,95
2009-02-10,10.99,0,2,2009,1,1,0,53
2009-02-23,3.99,2,2,2009,0,1,0,100
2009-06-16,10.99,0,6,2009,0,1,0,40
2009-06-16,10.99,0,6,2009,0,1,0,20
2009-06-16,3.99,0,6,2009,1,1,0,161
2009-06-16,2.99,203,6,2009,0,1,0,269
2009-12-03,6.99,0,12,2009,0,1,0,153
2008-01-29,6.99,52,1,2008,1,1,0,641
2008-01-29,6.99,0,1,2008,0,1,0,107
2008-01-29,6.99,0,1,2008,0,1,0,356
2008-01-29,4.99,0,1,2008,0,1,0,38
2008-07-29,5.99,0,7,2008,0,1,0,27
2008-07-29,4.99,0,7,2008,0,1,0,41
2008-07-29,4.99,0,7,2008,1,1,0,49
2008-07-29,4.99,0,7,2008,0,1,0,37
2009-03-09,6.99,0,3,2009,0,1,0,310
2009-07-17,4.99,0,7,2009,0,1,0,20
2009-11-12,6.99,446,11,2009,0,1,0,1021
2009-01-07,4.99,88,1,2009,0,1,0,543
2009-05-22,6.99,0,5,2009,1,1,0,314
2009-06-24,6.99,197,6,2009,0,1,0,2422
2009-10-08,6.99,413,10,2009,0,1,0,1604
2008-03-21,3.99,121,3,2008,1,1,0,52
2009-06-17,0.0,12,6,2009,1,1,0,2238
2008-03-17,8.99,682,3,2008,0,1,0,340
2009-03-05,13.99,542,3,2009,1,1,0,2692
2004-03-17,8.99,414,3,2004,1,1,0,2277
2008-03-17,5.99,565,3,2008,1,1,0,2199
2008-03-17,5.99,67,3,2008,1,1,0,1360
2009-08-27,8.59,307,8,2009,0,1,0,758
2008-04-01,8.59,126,4,2008,0,1,0,3708
2009-08-27,8.59,205,8,2009,0,1,0,474
2008-04-09,8.59,0,4,2008,1,1,0,477
2008-04-01,4.29,28,4,2008,0,1,0,1047
2009-08-27,8.59,22,8,2009,0,1,0,1917
2009-02-13,8.59,0,2,2009,0,1,0,810
2009-08-27,8.59,167,8,2009,0,1,0,953
2008-07-15,4.29,2,7,2008,1,1,0,36
2009-08-27,4.29,20,8,2009,1,1,0,159
2008-06-13,4.29,29,6,2008,0,1,0,319
2008-04-09,8.59,360,4,2008,0,1,0,6905
2008-04-16,8.59,1349,4,2008,1,1,0,3038
2008-05-13,4.29,355,5,2008,0,1,0,2009
2009-08-27,4.29,0,8,2009,0,1,0,114
2008-05-13,8.59,396,5,2008,0,1,0,1441
2008-05-13,4.29,69,5,2008,0,1,0,724
2009-08-27,8.59,134,8,2009,1,1,0,362
2008-06-13,4.29,0,6,2008,1,1,0,798
2009-08-27,4.29,0,8,2009,1,1,0,94
2008-05-13,4.29,0,5,2008,0,1,0,312
2008-07-15,8.59,476,7,2008,0,1,0,581
2008-06-13,8.69,1812,6,2008,1,1,0,1472
2008-10-10,8.59,6679,10,2008,0,1,0,825
2008-10-10,8.59,19,10,2008,0,1,0,105
